,alg,p,dim,maze
0,dfs,0.2,210,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 1]
 [0 0 0 ... 0 1 0]]"
1,e_astar,0.2,210,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 1]
 [0 0 0 ... 0 1 0]]"
2,m_astar,0.2,210,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 1]
 [0 0 0 ... 0 1 0]]"
3,dfs,0.2,210,"[[0 1 0 ... 0 1 0]
 [1 0 1 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 ...
 [0 0 0 ... 1 1 1]
 [0 0 1 ... 0 0 0]
 [0 0 0 ... 1 0 0]]"
4,e_astar,0.2,210,"[[0 1 0 ... 0 1 0]
 [1 0 1 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 ...
 [0 0 0 ... 1 1 1]
 [0 0 1 ... 0 0 0]
 [0 0 0 ... 1 0 0]]"
5,m_astar,0.2,210,"[[0 1 0 ... 0 1 0]
 [1 0 1 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 ...
 [0 0 0 ... 1 1 1]
 [0 0 1 ... 0 0 0]
 [0 0 0 ... 1 0 0]]"
6,dfs,0.2,210,"[[0 1 1 ... 0 0 0]
 [1 0 1 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 ...
 [1 1 0 ... 0 1 1]
 [0 0 0 ... 1 1 0]
 [1 0 0 ... 1 0 0]]"
7,e_astar,0.2,210,"[[0 1 1 ... 0 0 0]
 [1 0 1 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 ...
 [1 1 0 ... 0 1 1]
 [0 0 0 ... 1 1 0]
 [1 0 0 ... 1 0 0]]"
8,m_astar,0.2,210,"[[0 1 1 ... 0 0 0]
 [1 0 1 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 ...
 [1 1 0 ... 0 1 1]
 [0 0 0 ... 1 1 0]
 [1 0 0 ... 1 0 0]]"
9,dfs,0.2,210,"[[0 0 0 ... 1 1 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 0]
 [0 1 0 ... 1 0 0]]"
