,alg,p,dim,maze
0,dfs,0.1,50,"[[0 1 0 ... 1 0 1]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 0]]"
1,bfs,0.1,50,"[[0 1 0 ... 1 0 1]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 0]]"
2,e_astar,0.1,50,"[[0 1 0 ... 1 0 1]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 0]]"
3,m_astar,0.1,50,"[[0 1 0 ... 1 0 1]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 0]]"
4,dfs,0.2,50,"[[0 1 0 ... 1 1 0]
 [1 0 1 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 0 0 1]
 [0 1 0 ... 1 0 0]
 [0 1 0 ... 0 1 0]]"
5,bfs,0.2,50,"[[0 1 0 ... 1 1 0]
 [1 0 1 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 0 0 1]
 [0 1 0 ... 1 0 0]
 [0 1 0 ... 0 1 0]]"
6,e_astar,0.2,50,"[[0 1 0 ... 1 1 0]
 [1 0 1 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 0 0 1]
 [0 1 0 ... 1 0 0]
 [0 1 0 ... 0 1 0]]"
7,m_astar,0.2,50,"[[0 1 0 ... 1 1 0]
 [1 0 1 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 0 0 1]
 [0 1 0 ... 1 0 0]
 [0 1 0 ... 0 1 0]]"
8,dfs,0.2,50,"[[0 0 0 ... 0 0 0]
 [0 1 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 ...
 [1 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 0]]"
9,bfs,0.2,50,"[[0 0 0 ... 0 0 0]
 [0 1 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 ...
 [1 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 0]]"
10,e_astar,0.2,50,"[[0 0 0 ... 0 0 0]
 [0 1 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 ...
 [1 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 0]]"
11,m_astar,0.2,50,"[[0 0 0 ... 0 0 0]
 [0 1 0 ... 0 0 0]
 [1 0 0 ... 0 0 0]
 ...
 [1 0 0 ... 0 0 0]
 [1 0 0 ... 0 0 1]
 [0 0 0 ... 0 1 0]]"
12,dfs,0.2,50,"[[0 1 0 ... 1 0 0]
 [1 1 0 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 ...
 [0 1 1 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
13,bfs,0.2,50,"[[0 1 0 ... 1 0 0]
 [1 1 0 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 ...
 [0 1 1 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
14,e_astar,0.2,50,"[[0 1 0 ... 1 0 0]
 [1 1 0 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 ...
 [0 1 1 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
15,m_astar,0.2,50,"[[0 1 0 ... 1 0 0]
 [1 1 0 ... 0 0 0]
 [0 0 0 ... 0 0 1]
 ...
 [0 1 1 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
16,dfs,0.3,50,"[[0 0 0 ... 0 0 1]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 1 0 0]
 [1 0 0 ... 0 1 1]
 [0 1 1 ... 0 0 0]]"
17,bfs,0.3,50,"[[0 0 0 ... 0 0 1]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 1 0 0]
 [1 0 0 ... 0 1 1]
 [0 1 1 ... 0 0 0]]"
18,e_astar,0.3,50,"[[0 0 0 ... 0 0 1]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 1 0 0]
 [1 0 0 ... 0 1 1]
 [0 1 1 ... 0 0 0]]"
19,m_astar,0.3,50,"[[0 0 0 ... 0 0 1]
 [1 0 0 ... 0 0 0]
 [0 0 0 ... 0 1 0]
 ...
 [0 0 0 ... 1 0 0]
 [1 0 0 ... 0 1 1]
 [0 1 1 ... 0 0 0]]"
20,dfs,0.3,50,"[[0 1 0 ... 0 0 0]
 [1 0 0 ... 0 1 0]
 [0 1 0 ... 0 0 1]
 ...
 [0 0 1 ... 0 1 0]
 [0 1 0 ... 1 0 1]
 [1 0 1 ... 1 1 0]]"
21,bfs,0.3,50,"[[0 1 0 ... 0 0 0]
 [1 0 0 ... 0 1 0]
 [0 1 0 ... 0 0 1]
 ...
 [0 0 1 ... 0 1 0]
 [0 1 0 ... 1 0 1]
 [1 0 1 ... 1 1 0]]"
22,e_astar,0.3,50,"[[0 1 0 ... 0 0 0]
 [1 0 0 ... 0 1 0]
 [0 1 0 ... 0 0 1]
 ...
 [0 0 1 ... 0 1 0]
 [0 1 0 ... 1 0 1]
 [1 0 1 ... 1 1 0]]"
23,m_astar,0.3,50,"[[0 1 0 ... 0 0 0]
 [1 0 0 ... 0 1 0]
 [0 1 0 ... 0 0 1]
 ...
 [0 0 1 ... 0 1 0]
 [0 1 0 ... 1 0 1]
 [1 0 1 ... 1 1 0]]"
